date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-02,3,Fixed-All Over JH-4,Fixed,2000,1971,AM Tatisilwai Chowk RNC,507,08:27,420,540,07:00,09:00,1291
2026-01-02,3,Fixed-All Over JH-4,Fixed,2000,1971,AM Tatisilway Rd RNC,584,09:44,540,660,09:00,11:00,1663
2026-01-02,3,Fixed-All Over JH-4,Fixed,2000,1971,ASM Tupudana Chowk,694,11:34,720,840,12:00,14:00,1971
2026-01-02,4,Fixed-All Over JH-5,Fixed,2000,1971,ASM Aayodhya Puri RC,496,08:16,480,600,08:00,10:00,329
2026-01-02,4,Fixed-All Over JH-5,Fixed,2000,1971,AM Kanke Block RNC,583,09:43,480,600,08:00,10:00,615
2026-01-02,4,Fixed-All Over JH-5,Fixed,2000,1971,AM Ravi Steel RNC,673,11:13,660,780,11:00,13:00,989
2026-01-02,4,Fixed-All Over JH-5,Fixed,2000,1971,AM Piskamore Ratu Rd RNC,693,11:33,720,840,12:00,14:00,1971
2026-01-02,5,Fixed-All Over JH-6,Fixed,1800,1794,AM Panchmukhi Mandir Dhurwa RNC,420,07:00,420,540,07:00,09:00,807
2026-01-02,5,Fixed-All Over JH-6,Fixed,1800,1794,AM Pahari RNC,447,07:27,360,480,06:00,08:00,1794
2026-01-02,6,Fixed-All Over JH-7,Fixed,1800,1776,AM WC LALPUR RNC,420,07:00,420,540,07:00,09:00,840
2026-01-02,6,Fixed-All Over JH-7,Fixed,1800,1776,AM Cheshire Home Road RNC,480,08:00,480,600,08:00,10:00,1776
2026-01-02,7,Fixed-All Over JH-8,Fixed,1800,1447,AM Shiv Mandir Rd Parsudih JSR,432,07:12,420,540,07:00,09:00,206
2026-01-02,7,Fixed-All Over JH-8,Fixed,1800,1447,AM New Parsudih JSR,448,07:28,480,600,08:00,10:00,240
2026-01-02,7,Fixed-All Over JH-8,Fixed,1800,1447,AM Dindly Basti Rd Adityapur JSR,474,07:54,600,720,10:00,12:00,410
2026-01-02,7,Fixed-All Over JH-8,Fixed,1800,1447,AM Ghat Rd Kadma JSR,493,08:13,600,720,10:00,12:00,1447
2026-01-02,8,Fixed-All Over JH-9,Fixed,1800,1797,AM Nayatoli RNC,427,07:07,360,480,06:00,08:00,562
2026-01-02,8,Fixed-All Over JH-9,Fixed,1800,1797,AM Getlatu RNC,520,08:40,480,600,08:00,10:00,750
2026-01-02,8,Fixed-All Over JH-9,Fixed,1800,1797,AM PITAMBRAM PALACE RNC,599,09:59,480,600,08:00,10:00,1634
